Countrycode;AirQualityStation;AirQualityStationEoICode;AirPollutant;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification
DE;STA.DE_DEBB007;DEBB007;O3;hour;35.73;µg/m3;2013-01-06 11:00:00 +01:00;2013-01-06 12:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;34.99;µg/m3;2013-01-06 13:00:00 +01:00;2013-01-06 14:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;44.01;µg/m3;2013-01-06 14:00:00 +01:00;2013-01-06 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;50.58;µg/m3;2013-01-06 16:00:00 +01:00;2013-01-06 17:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;46.7;µg/m3;2013-01-06 18:00:00 +01:00;2013-01-06 19:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.64;µg/m3;2013-01-06 19:00:00 +01:00;2013-01-06 20:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;39.79;µg/m3;2013-01-06 20:00:00 +01:00;2013-01-06 21:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.33;µg/m3;2013-01-06 21:00:00 +01:00;2013-01-06 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;49.86;µg/m3;2013-01-07 01:00:00 +01:00;2013-01-07 02:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;48.01;µg/m3;2013-01-07 02:00:00 +01:00;2013-01-07 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;47.65;µg/m3;2013-01-07 04:00:00 +01:00;2013-01-07 05:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;40.88;µg/m3;2013-01-07 05:00:00 +01:00;2013-01-07 06:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;37.18;µg/m3;2013-01-07 06:00:00 +01:00;2013-01-07 07:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;37.3;µg/m3;2013-01-07 14:00:00 +01:00;2013-01-07 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;31.57;µg/m3;2013-01-07 15:00:00 +01:00;2013-01-07 16:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;18.84;µg/m3;2013-01-07 21:00:00 +01:00;2013-01-07 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;11.4;µg/m3;2013-01-08 00:00:00 +01:00;2013-01-08 01:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;5.55;µg/m3;2013-01-08 01:00:00 +01:00;2013-01-08 02:00:00 +01:00;1;1
