N	MeanD	Volume
761	0.722613265	1398865
762	1.934055529	1169644
763	1.239574236	1334572
764	0.762123169	3033942
765	0.872711165	2449550
766	0.452948829	6884579
767	0.557985158	4286627
768	1.021853578	1977482
769	0.973094211	2013404
770	1.010773295	2290984
771	0.617240248	3430193
772	0.854892927	3356582
773	0.874368622	2602314
774	0.945113337	2810104
775	0.680099243	3540324
776	0.52349472	4134800
777	0.496997381	5251418
778	0.735242275	3073370
779	0.980429552	2042146
780	0.652753214	3577190
781	0.703800744	3030623
782	0.859981526	2601584
783	1.201653113	1735539
784	0.963809798	2081565
785	1.097871664	2015786
786	0.900667155	2214717
787	0.865391875	2477770
788	0.7652938	2788541
789	0.928764555	2584866
790	1.199744984	1719016
791	0.980434228	1993523
792	1.403551096	1518457
793	1.98089795	1061034
794	0.60252944	4130890
795	0.624607555	3456543
796	0.911668216	2364081
797	0.503796346	5027697
798	0.749460397	3204736
799	0.681116609	3981361
800	0.617487575	5115691
801	0.45860831	6576856
802	0.701118103	3542635
803	0.900625377	2554830
804	0.746732046	4177723
805	0.725915048	3656949
806	0.6986443	4700344
807	0.687001838	4109701
808	0.830052895	3168575
809	0.72800781	3925747
810	0.628648903	4565798
811	0.824698901	3318329
812	0.717250695	3786344
813	0.792788458	3137861
814	0.759779928	3938449
815	0.789774396	3210501
816	0.449238132	5894083
817	0.708980484	3987321
818	0.71875421	3590729
819	0.619200278	3977868
820	0.830422098	2664865
821	0.938704982	2470151
822	0.878847975	2531282
823	0.806077567	2906453
824	1.064108613	2269630
825	1.092027167	2218231
826	0.650623405	3902280
827	0.826062056	2599827
828	0.810362795	2986302
829	0.958613461	2764586
830	0.844831248	2800184
831	0.973921327	2418816
832	0.882368919	2387381
833	1.419426624	1394814
834	1.07212004	1943702
835	0.861658836	3111757
836	0.847831349	2336276
837	0.779900499	2916366
838	0.809719946	2574524
839	1.031616026	2170018
840	1.10219613	2376287
841	0.719662845	3458771
842	0.853719063	3133416
843	0.902828028	3155185
844	0.642467807	4445743
845	1.099098039	2348461
846	1.099203432	1893118
847	0.869115731	2849408
848	0.76919624	3296980
849	0.796646384	3179894
850	0.918558476	2663890
851	0.974366581	2209302
852	0.556611216	4581711
853	0.698129473	3762266
854	0.844794063	3171287
855	0.829440566	2724818
856	0.818716764	2821071
857	0.696529223	3516215
858	1.134871239	2301848
859	1.190134179	2106098
860	2.103716704	1341817
861	0.843961292	3019475
862	1.106534041	2468800
863	1.18624622	1881879
864	1.079039433	1944173
865	1.175874312	2023515
866	1.129490058	1905610
867	1.357463392	1644951
868	1.276267724	1939678
