date; pm25; pm10; o3; no2; so2; co;AQI
31.01.2015;42;17;27;28;4;3;42
01.02.2015;37;27;13;39;5;5;39
02.02.2015;53;25;18;49;4;5;53
03.02.2015;61;33;15;47;4;5;61
04.02.2015;64;20;18;37;2;4;64
05.02.2015;48;22;18;23;2;4;48
06.02.2015;42;22;17;42;1;4;42
07.02.2015;63;38;23;36;2;5;63
08.02.2015;68;37;15;41;3;6;68
09.02.2015;86;44;16;49;6;8;86
10.02.2015;84;43;20;38;5;8;84
11.02.2015;97;55;4;49;6;7;97
12.02.2015;126;41;23;47;5;6;126
13.02.2015;98;19;25;36;5;4;98
14.02.2015;52;42;14;38;5;6;52
15.02.2015;99;36;13;44;6;7;99
16.02.2015;89;21;20;31;2;3;89
17.02.2015;52;27;25;38;4;6;52
18.02.2015;63;26;28;42;5;6;63
19.02.2015;61;22;23;46;5;6;61
20.02.2015;50;18;26;33;5;5;50
21.02.2015;49;13;30;29;5;7;49
22.02.2015;44;22;29;44;7;8;44
23.02.2015;51;20;23;35;6;8;51
24.02.2015;47;26;17;41;5;9;47
25.02.2015;54;31;14;58;3;6;58
26.02.2015;51;29;17;46;6;5;51
27.02.2015;61;18;28;31;4;3;61
28.02.2015;45;17;32;21;3;2;45
01.03.2015;43;18;29;37;5;4;43
02.03.2015;42;20;28;42;6;6;42
03.03.2015;45;25;26;41;3;4;45
04.03.2015;50;29;19;48;6;6;50
05.03.2015;64;24;29;43;4;6;64
06.03.2015;55;36;28;36;4;6;55
07.03.2015;76;30;27;36;4;6;76
08.03.2015;64;24;19;38;4;6;64
09.03.2015;63;33;18;49;3;5;63
10.03.2015;61;43;20;41;4;7;61
11.03.2015;99;41;19;43;4;4;99
12.03.2015;95;33;22;34;3;3;95
13.03.2015;80;25;26;19; ;2;80
14.03.2015;66;35;21;20;1;2;66
15.03.2015;81;42;12;33;4;5;81
16.03.2015;104;62;10;31;3;5;104
17.03.2015;156;56;24;32;1;4;156
18.03.2015;143;49;32;37;1;3;143
19.03.2015;106;48;35;48;3;5;106
20.03.2015;110;24;29;31;2;3;110
21.03.2015;55;29;29;24;2;3;55
22.03.2015;44;25;17;40;4;6;44
23.03.2015;71;30;23;45;4;5;71
24.03.2015;59;39;16;49;4;7;59
25.03.2015;82;19;27;37;5;4;82
26.03.2015;49;24;28;46;6;5;49
27.03.2015;54;20;25;31;4;4;54
28.03.2015;54;15;32;30;4;4;54
29.03.2015;36;19;29;34;4;5;36
30.03.2015;41;13;32;21;3;4;41
31.03.2015;30;20;29;35;4;4;35
01.04.2015;46;23;26;42;4;5;46
02.04.2015;55;22;20;35;4;5;55
03.04.2015;60;23;21;31;3;4;60
04.04.2015;66;21;27;29;2;5;66
05.04.2015;61;26;27;36;3;5;61
06.04.2015;70;22;24;40;4;5;70
07.04.2015;49; ; ; ; ; ;49
08.04.2015; ;59;23;64;3;4;64
09.04.2015;149;60;32;67;5;4;149
10.04.2015;144;26;35;37;4;2;144
11.04.2015;65;24;36;41;4; ;65
12.04.2015;56;28;29;45;5;2;56
13.04.2015;65;31;36;53;6;3;65
14.04.2015;74;37;36;55;6;4;74
15.04.2015;89;27;24;38;4;3;89
16.04.2015;65;22;30;39;4;1;65
17.04.2015;52;23;35;32;3;1;52
18.04.2015;53;23;34;34;3;15;53
19.04.2015;54;35;35;48;3;17;54
20.04.2015;71;34;33;49;3;13;71
21.04.2015;69;27;30;47;3;8;69
22.04.2015;69;30;30;59;5;4;69
23.04.2015;76;50;33;75;7;6;76
24.04.2015;125;26;31;51;6;4;125
25.04.2015;77;20;27;33;5;2;77
26.04.2015;61;28;19;37;6;3;61
27.04.2015;66;29;26;46;6;3;66
28.04.2015;61;49;28;62;7;4;62
29.04.2015;70;23;28;52;6;3;70
30.04.2015;63;26;27;43;5;3;63
01.05.2015;58;26;25;37;6;3;58
02.05.2015;65;20;33;34;7;3;65
03.05.2015;64;20;37;34;7;3;64
04.05.2015;62;28;34;39;8;2;62
05.05.2015;72;25;33;50;7;3;72
06.05.2015;66;26;31;69;6;5;69
07.05.2015;69;35;27;71;6;3;71
08.05.2015;77;25;38;46;4;4;77
09.05.2015;50;30;37;53;4;3;53
10.05.2015;61;27;30;61;5;5;61
11.05.2015;64;26;35;55;5;6;64
12.05.2015;55;31;30;57;3;5;57
13.05.2015;59;24;25;55;4;5;59
14.05.2015;66;28;31;50;3;5;66
15.05.2015;62;24;39;32;3;6;62
16.05.2015;65;25;35;42;3;7;65
17.05.2015;57;22;33;53;5;8;57
18.05.2015;57;20;28;50;6;7;57
19.05.2015;50;31;29;36;3;5;50
20.05.2015;60;31;38;63;7;5;63
21.05.2015;73;32;21;45;6;4;73
22.05.2015;69;26;25;30;3;2;69
23.05.2015;60;22;28;35;4;3;60
24.05.2015;58;25;34;27;2;3;58
25.05.2015;62;22;31;36;2;2;62
26.05.2015;57;26;35;49;3;3;57
27.05.2015;70;22;35;34;4;3;70
28.05.2015;51;24;29;47;6;3;51
29.05.2015;59;22;30;41;5;3;59
30.05.2015;59;21;30;31;4;2;59
31.05.2015;51;28;32;40;5;3;51
01.06.2015;60;24;33;38;5;3;60
02.06.2015;58;28;27;38;5;3;58
03.06.2015;60;37;34;65;5;4;65
04.06.2015;71;41;26;62;6;5;71
05.06.2015;89;21;33;34;4;2;89
06.06.2015;50;22;37;31;2;2;50
07.06.2015;54;28;27;40;3;3;54
08.06.2015;61;30;31;32;2;3;61
09.06.2015;50;26;36;44;2;3;50
10.06.2015;55;31;45;57;4;5;57
11.06.2015;69;48;44;67;4;6;69
12.06.2015;98;35;30;50;6;7;98
13.06.2015;88;30;29;35;4;5;88
14.06.2015;69;23;30;40;3;4;69
15.06.2015;48;32;37;62;5;6;62
16.06.2015;66;30;21;51;6;5;66
17.06.2015;63;39;32;33;3;4;63
18.06.2015;66;36;31;34;3;3;66
19.06.2015;70;29;21;47;5;6;70
20.06.2015;71;20;28;30;4;6;71
21.06.2015;53;24;22;41;5;6;53
22.06.2015;54;26;28;38;3;5;54
23.06.2015;55;26;35;77;6;8;77
24.06.2015;68;36;35;71;7;8;71
25.06.2015;74;30;38;77;6;7;77
