N	MeanD	Volume
1614	0.513788531	4776887
1615	0.815238285	2594699
1616	0.986618554	2206850
1617	0.83848703	2548177
1618	0.695471938	2638800
1619	0.659297159	3655008
1620	0.91907179	2302146
1621	1.16544702	1898670
1622	0.838806463	2710130
1623	0.744282807	3383627
1624	0.949663733	2339098
1625	0.651475344	3729072
1626	1.132718783	2124098
1627	0.911437182	2410914
1628	1.00429215	2212485
1629	1.050445825	2280049
1630	1.455811918	1344042
1631	2.143559325	1066158
1632	1.139169684	1970253
1633	0.964170925	2309565
1634	1.094750684	2221881
1635	0.654517651	3711154
1636	1.123375483	2044232
1637	1.102661193	1938984
1638	0.836391051	2724000
1639	0.850606554	2790567
1640	1.33533107	1589882
1641	1.018860402	2194078
1642	1.032527829	2126064
1643	0.919080017	2589589
1644	0.760003082	3091265
1645	0.676555002	4536776
1646	0.808443367	2960126
1647	1.137824403	1871946
1648	1.25767792	1728208
1649	1.253930265	1990229
1650	1.341325104	1639592
1651	1.206551965	1680034
1652	0.769759429	3426743
1653	1.044995933	1911595
1654	1.132374798	1988652
1655	0.898181437	2659941
